epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,378.564,2.67588,1.16338,0.00286,0.80499,0.63636,0.70533,0.26281,1.52529,0.78544,0.00169,0.00191014,0.00191014,0.00191014
43,386.934,2.77578,1.28144,0.00286,0.82606,0.64935,0.74643,0.26917,1.51754,0.79566,0.00164,0.00190578,0.00190578,0.00190578
44,395.402,2.65365,0.99012,0.00269,0.85628,0.72727,0.76362,0.29727,1.42784,0.74593,0.00154,0.00190132,0.00190132,0.00190132
45,403.826,2.6253,1.04801,0.0027,0.82408,0.66924,0.71499,0.2752,1.47432,0.82664,0.00152,0.00189675,0.00189675,0.00189675
46,412.241,2.62988,0.96904,0.00264,0.82151,0.59772,0.68868,0.26212,1.48764,0.87221,0.00154,0.0018921,0.0018921,0.0018921
47,420.643,2.62209,1.05115,0.00257,0.78179,0.57143,0.64347,0.24185,1.45984,0.98802,0.00153,0.00188734,0.00188734,0.00188734
48,429.106,2.49103,0.96806,0.00255,0.86125,0.53247,0.63027,0.23587,1.41502,1.05758,0.00147,0.00188249,0.00188249,0.00188249
49,437.519,2.74605,1.1513,0.00281,0.90833,0.51478,0.62436,0.24329,1.43967,1.04387,0.00151,0.00187754,0.00187754,0.00187754
50,445.893,2.58682,0.92267,0.00264,0.83112,0.71429,0.81111,0.34383,1.36585,0.55677,0.00147,0.0018725,0.0018725,0.0018725
51,454.429,2.60825,0.96271,0.00269,0.85855,0.76623,0.8388,0.36255,1.41326,0.48413,0.00147,0.00186737,0.00186737,0.00186737
52,462.99,2.46865,0.7591,0.00264,0.81455,0.74026,0.78755,0.34312,1.42886,0.54453,0.00151,0.00186213,0.00186213,0.00186213
53,471.386,2.43026,0.90479,0.00249,0.83238,0.77393,0.84113,0.37079,1.40293,0.44639,0.00147,0.00185681,0.00185681,0.00185681
54,479.888,2.44963,0.97318,0.00246,0.8988,0.7013,0.86645,0.35877,1.42477,0.43298,0.00153,0.00185139,0.00185139,0.00185139
55,488.254,2.67841,0.80162,0.0028,0.80216,0.75325,0.84268,0.31807,1.48701,0.49412,0.0016,0.00184588,0.00184588,0.00184588
56,496.67,2.46415,0.76073,0.00255,0.85867,0.7013,0.82161,0.32104,1.47742,0.50296,0.0015,0.00184028,0.00184028,0.00184028
57,505.048,2.51024,0.92909,0.00254,0.87039,0.7013,0.79664,0.33737,1.4848,0.53798,0.00157,0.00183459,0.00183459,0.00183459
58,513.394,2.61026,0.85986,0.0026,0.85353,0.64935,0.75845,0.31138,1.52287,0.58385,0.00157,0.00182881,0.00182881,0.00182881
59,521.713,2.45985,0.92198,0.00247,0.77658,0.66234,0.70828,0.28636,1.49392,0.70506,0.00158,0.00182294,0.00182294,0.00182294
60,530.167,2.13937,0.92778,0.00215,0.84481,0.71429,0.76559,0.33096,1.44293,0.70585,0.00151,0.00181698,0.00181698,0.00181698
61,538.539,2.61459,1.00828,0.00254,0.85083,0.76623,0.80089,0.34508,1.41155,0.53785,0.00151,0.00181093,0.00181093,0.00181093
62,546.906,2.61961,0.9336,0.00255,0.86716,0.76302,0.81449,0.35749,1.38394,0.49811,0.00148,0.00180479,0.00180479,0.00180479
63,555.286,2.39061,0.88758,0.00245,0.75504,0.80062,0.82711,0.35761,1.39187,0.49078,0.00148,0.00179856,0.00179856,0.00179856
64,563.678,2.56131,0.99879,0.00263,0.85828,0.67532,0.75245,0.29798,1.5354,0.54681,0.00171,0.00179225,0.00179225,0.00179225
65,572.033,2.39061,0.85065,0.00247,0.7984,0.72012,0.76013,0.29851,1.52986,0.55997,0.00168,0.00178586,0.00178586,0.00178586
66,580.39,2.56948,0.82645,0.00256,0.84091,0.68647,0.73643,0.26659,1.57164,0.56559,0.00177,0.00177937,0.00177937,0.00177937
67,588.767,2.72258,0.85909,0.00278,0.89141,0.7463,0.77575,0.31747,1.45271,0.55149,0.00157,0.00177281,0.00177281,0.00177281
68,597.217,2.43087,0.76161,0.00236,0.93921,0.76623,0.83141,0.32274,1.4673,0.58882,0.00155,0.00176616,0.00176616,0.00176616
69,605.579,2.72997,1.16528,0.00277,0.94308,0.76623,0.82707,0.32485,1.43312,0.6045,0.00151,0.00175943,0.00175943,0.00175943
70,613.928,2.41159,0.74551,0.00247,0.83553,0.81818,0.85389,0.36033,1.39967,0.54655,0.00145,0.00175261,0.00175261,0.00175261
71,622.264,2.55043,0.98094,0.00247,0.84668,0.78891,0.84678,0.36384,1.38197,0.44145,0.00143,0.00174571,0.00174571,0.00174571
72,630.661,2.11015,0.71834,0.00209,0.86201,0.73019,0.79284,0.32642,1.3685,0.62207,0.00145,0.00173874,0.00173874,0.00173874
73,638.998,2.53458,0.95527,0.0026,0.84558,0.78228,0.81613,0.33483,1.38088,0.4607,0.00146,0.00173168,0.00173168,0.00173168
74,647.406,2.42075,0.76344,0.0024,0.78905,0.76623,0.82,0.34681,1.3685,0.45282,0.0014,0.00172454,0.00172454,0.00172454
75,655.727,2.42516,0.71097,0.00246,0.87745,0.74391,0.82045,0.37115,1.32136,0.42969,0.00138,0.00171733,0.00171733,0.00171733
76,664.232,2.25397,0.67782,0.00226,0.86072,0.71429,0.81563,0.35463,1.37427,0.48442,0.0014,0.00171004,0.00171004,0.00171004
77,672.614,2.39339,0.88141,0.00243,0.82519,0.71429,0.80414,0.37676,1.33108,0.4944,0.00136,0.00170267,0.00170267,0.00170267
78,681.088,2.5856,0.88084,0.00272,0.87908,0.77922,0.8236,0.3669,1.32323,0.49707,0.00139,0.00169522,0.00169522,0.00169522
79,689.432,2.62978,0.75713,0.00272,0.91942,0.74094,0.83835,0.31482,1.44762,0.58554,0.00148,0.0016877,0.0016877,0.0016877
80,697.849,2.60798,0.84506,0.00266,0.85878,0.77922,0.84727,0.3366,1.43188,0.50052,0.00149,0.00168011,0.00168011,0.00168011
81,706.199,2.37086,0.63682,0.00235,0.80111,0.74026,0.79795,0.34935,1.36718,0.55316,0.00144,0.00167244,0.00167244,0.00167244
82,714.598,2.56538,1.08378,0.00266,0.88825,0.72265,0.82039,0.35126,1.36915,0.56376,0.00145,0.0016647,0.0016647,0.0016647
83,722.964,2.45229,0.91576,0.00246,0.83395,0.79221,0.83362,0.33722,1.42404,0.49296,0.00152,0.00165689,0.00165689,0.00165689
84,731.373,2.22165,0.80545,0.00229,0.79774,0.76834,0.80457,0.31412,1.44498,0.58826,0.00156,0.001649,0.001649,0.001649
85,739.737,2.50502,1.03389,0.00253,0.83899,0.71429,0.80438,0.33963,1.43005,0.53346,0.00153,0.00164105,0.00164105,0.00164105
86,748.06,2.17627,0.78384,0.0022,0.81165,0.75325,0.81853,0.33447,1.44157,0.55346,0.00153,0.00163303,0.00163303,0.00163303
87,756.471,2.30539,0.74537,0.00228,0.8964,0.67422,0.79388,0.33641,1.42584,0.56139,0.0015,0.00162494,0.00162494,0.00162494
88,764.89,2.16032,0.7711,0.00221,0.8375,0.73633,0.7829,0.33703,1.45193,0.55018,0.00153,0.00161678,0.00161678,0.00161678
89,773.281,2.27674,0.73311,0.00239,0.80639,0.74026,0.78558,0.35296,1.43455,0.60291,0.00152,0.00160855,0.00160855,0.00160855
90,781.651,2.16977,0.6946,0.0022,0.83185,0.74026,0.7758,0.31371,1.46289,0.57428,0.00152,0.00160026,0.00160026,0.00160026
91,790.034,2.41499,1.30173,0.00235,0.86324,0.72727,0.78855,0.31156,1.47814,0.53924,0.00154,0.00159191,0.00159191,0.00159191
92,798.439,2.23335,0.75453,0.00228,0.83759,0.73677,0.77946,0.3413,1.43454,0.52778,0.00151,0.00158349,0.00158349,0.00158349
93,806.765,2.46992,0.80569,0.00244,0.88904,0.7013,0.77846,0.35288,1.43019,0.54669,0.0015,0.00157501,0.00157501,0.00157501
94,815.093,2.25849,0.73997,0.00218,0.85382,0.67532,0.74826,0.35082,1.41115,0.63103,0.0015,0.00156646,0.00156646,0.00156646
95,823.486,2.35646,0.83118,0.00229,0.79541,0.72727,0.77105,0.35872,1.39179,0.65406,0.00146,0.00155786,0.00155786,0.00155786
96,831.862,2.24551,0.68118,0.00223,0.94184,0.7013,0.81334,0.34916,1.4456,0.5221,0.00151,0.00154919,0.00154919,0.00154919
97,840.188,2.33097,0.8061,0.00221,0.90596,0.74026,0.82204,0.34739,1.41757,0.55228,0.00148,0.00154047,0.00154047,0.00154047
98,848.508,2.2226,0.69395,0.00213,0.90718,0.76623,0.81616,0.34829,1.39593,0.58312,0.00147,0.00153169,0.00153169,0.00153169
99,856.817,2.3466,0.84134,0.00224,0.85399,0.75963,0.81255,0.36744,1.37833,0.55603,0.00145,0.00152285,0.00152285,0.00152285
100,865.173,2.32224,0.76418,0.0023,0.85909,0.79221,0.83476,0.38256,1.36977,0.47699,0.00143,0.00151395,0.00151395,0.00151395
101,873.598,2.17922,0.6544,0.00216,0.79441,0.80292,0.82464,0.34995,1.43893,0.4519,0.00149,0.001505,0.001505,0.001505
102,881.933,2.40437,0.78528,0.00228,0.81772,0.76623,0.82694,0.3517,1.43587,0.42871,0.00148,0.00149599,0.00149599,0.00149599
103,890.271,2.20273,0.6892,0.00217,0.87263,0.80519,0.8695,0.37575,1.38266,0.391,0.00142,0.00148694,0.00148694,0.00148694
104,898.694,2.26843,0.67015,0.00229,0.84399,0.84308,0.86092,0.376,1.3725,0.43128,0.00142,0.00147783,0.00147783,0.00147783
105,907.093,2.07173,0.66839,0.00214,0.80073,0.85714,0.84685,0.36618,1.38694,0.4413,0.00145,0.00146866,0.00146866,0.00146866
106,915.504,2.05263,0.6066,0.00204,0.8695,0.81818,0.84005,0.34028,1.42704,0.50004,0.0015,0.00145945,0.00145945,0.00145945
107,923.868,2.37187,0.72102,0.00225,0.89031,0.77922,0.83588,0.32575,1.44796,0.5008,0.00151,0.00145019,0.00145019,0.00145019
108,932.265,2.20129,0.63022,0.00213,0.89461,0.72727,0.80399,0.33233,1.4477,0.51748,0.00155,0.00144088,0.00144088,0.00144088
109,940.669,2.16974,0.60015,0.00222,0.90361,0.74026,0.81984,0.32992,1.45253,0.50673,0.00155,0.00143152,0.00143152,0.00143152
110,949.011,2.06777,0.66553,0.00204,0.78622,0.79221,0.82362,0.33601,1.43433,0.50471,0.00151,0.00142212,0.00142212,0.00142212
111,957.412,2.20341,0.68452,0.00228,0.86652,0.80519,0.84044,0.34252,1.42,0.47881,0.00148,0.00141267,0.00141267,0.00141267
112,965.768,2.265,0.6228,0.00229,0.85115,0.74026,0.79411,0.32119,1.46057,0.57593,0.0015,0.00140318,0.00140318,0.00140318
113,974.11,2.03405,0.59774,0.00209,0.94008,0.7013,0.81654,0.32836,1.43023,0.59485,0.00151,0.00139364,0.00139364,0.00139364
114,982.433,2.06302,0.56046,0.00202,0.96795,0.75325,0.85003,0.35158,1.42869,0.514,0.00154,0.00138406,0.00138406,0.00138406
115,990.732,2.04498,0.58592,0.00209,0.92416,0.79129,0.84435,0.35327,1.44641,0.52709,0.00152,0.00137444,0.00137444,0.00137444
116,999.102,2.15325,0.71696,0.002,0.93013,0.75325,0.84421,0.35736,1.44984,0.51278,0.00152,0.00136478,0.00136478,0.00136478
117,1007.44,2.13918,0.66699,0.0021,0.88135,0.77181,0.85024,0.35264,1.4628,0.46432,0.00153,0.00135509,0.00135509,0.00135509
118,1015.76,2.14203,0.55723,0.00224,0.89085,0.74026,0.8502,0.33309,1.49685,0.48528,0.00155,0.00134535,0.00134535,0.00134535
119,1024.11,2.41693,0.80629,0.00224,0.91054,0.71429,0.81573,0.33352,1.49744,0.46978,0.00157,0.00133558,0.00133558,0.00133558
120,1032.5,2.08641,0.69077,0.00207,0.94885,0.72278,0.8128,0.37561,1.38291,0.48243,0.00144,0.00132577,0.00132577,0.00132577
121,1040.8,2.20639,0.62327,0.00222,0.87721,0.74228,0.79979,0.3571,1.40005,0.52967,0.0015,0.00131593,0.00131593,0.00131593
122,1049.13,2.03329,0.56576,0.00204,0.90982,0.68831,0.7659,0.35109,1.37955,0.5651,0.00145,0.00130605,0.00130605,0.00130605
123,1057.42,1.78323,0.62425,0.00168,0.8449,0.77922,0.79429,0.34075,1.41771,0.52236,0.0015,0.00129614,0.00129614,0.00129614
124,1065.8,2.05751,0.67413,0.00217,0.84345,0.75325,0.81538,0.34453,1.435,0.49924,0.00151,0.0012862,0.0012862,0.0012862
125,1074.16,1.99731,0.57352,0.00197,0.8669,0.76623,0.82531,0.35643,1.41796,0.5201,0.00149,0.00127623,0.00127623,0.00127623
126,1082.51,2.17984,0.67502,0.00204,0.86127,0.72568,0.81512,0.3394,1.42388,0.54131,0.00151,0.00126623,0.00126623,0.00126623
127,1090.83,2.18609,0.71154,0.00206,0.85568,0.69305,0.78821,0.33762,1.4191,0.5297,0.00154,0.0012562,0.0012562,0.0012562
128,1099.21,2.24739,0.68635,0.00216,0.89075,0.72727,0.81983,0.33871,1.4169,0.51437,0.00151,0.00124615,0.00124615,0.00124615
