yolo_conf,svm_threshold,f2,recall,precision,f1
0.01,0.01,0.8738664468260511,0.9814814814814815,0.6074498567335244,0.7504424778761062
0.01,0.05,0.9005947323704333,0.9814814814814815,0.6773162939297125,0.8015122873345936
0.01,0.1,0.9106529209621993,0.9814814814814815,0.7066666666666667,0.8217054263565892
0.01,0.15,0.916955017301038,0.9814814814814815,0.726027397260274,0.8346456692913385
0.01,0.2,0.9201388888888888,0.9814814814814815,0.7361111111111112,0.8412698412698413
0.01,0.25,0.9238178633975481,0.9768518518518519,0.7589928057553957,0.854251012145749
0.01,0.3,0.9242957746478874,0.9722222222222222,0.7720588235294118,0.860655737704918
0.01,0.35,0.9187279151943463,0.9629629629629629,0.7761194029850746,0.859504132231405
0.01,0.4,0.9188224799286352,0.9537037037037037,0.8015564202334631,0.8710359408033826
0.01,0.45,0.9192825112107623,0.9490740740740741,0.8167330677290837,0.8779443254817987
0.01,0.5,0.9214092140921409,0.9444444444444444,0.8395061728395061,0.8888888888888888
0.01,0.55,0.9032846715328468,0.9166666666666666,0.853448275862069,0.8839285714285714
0.01,0.6,0.9041095890410958,0.9166666666666666,0.8571428571428571,0.8859060402684564
0.01,0.65,0.9007352941176471,0.9074074074074074,0.875,0.8909090909090909
0.01,0.7,0.8935185185185185,0.8935185185185185,0.8935185185185185,0.8935185185185185
0.05,0.01,0.9315931593159316,0.9583333333333334,0.8380566801619433,0.8941684665226782
0.05,0.05,0.933273219116321,0.9583333333333334,0.8448979591836735,0.8980477223427332
0.05,0.1,0.9366515837104072,0.9583333333333334,0.8589211618257261,0.9059080962800875
0.05,0.15,0.9383499546690843,0.9583333333333334,0.8661087866108786,0.9098901098901099
0.05,0.2,0.9400544959128065,0.9583333333333334,0.8734177215189873,0.9139072847682119
0.05,0.25,0.9389243391066545,0.9537037037037037,0.8841201716738197,0.9175946547884187
0.05,0.3,0.9360730593607306,0.9490740740740741,0.8874458874458875,0.9172259507829977
0.05,0.35,0.9286367795059469,0.9398148148148148,0.8864628820960698,0.9123595505617977
0.05,0.4,0.9237132352941176,0.9305555555555556,0.8973214285714286,0.9136363636363637
0.05,0.45,0.922509225092251,0.9259259259259259,0.9090909090909091,0.9174311926605505
0.05,0.5,0.9212962962962963,0.9212962962962963,0.9212962962962963,0.9212962962962963
0.05,0.55,0.9010270774976658,0.8935185185185185,0.9323671497584541,0.9125295508274232
0.05,0.6,0.9018691588785047,0.8935185185185185,0.9368932038834952,0.9146919431279621
0.05,0.65,0.900562851782364,0.8888888888888888,0.9504950495049505,0.9186602870813397
0.05,0.7,0.8906691800188501,0.875,0.9593908629441624,0.9152542372881356
0.1,0.01,0.9423604757548033,0.9537037037037037,0.8995633187772926,0.9258426966292135
0.1,0.05,0.9423604757548033,0.9537037037037037,0.8995633187772926,0.9258426966292135
0.1,0.1,0.9440879926672777,0.9537037037037037,0.9074889867841409,0.9300225733634312
0.1,0.15,0.945821854912764,0.9537037037037037,0.9155555555555556,0.9342403628117913
0.1,0.2,0.945821854912764,0.9537037037037037,0.9155555555555556,0.9342403628117913
0.1,0.25,0.9429622815087396,0.9490740740740741,0.9192825112107623,0.9339407744874715
0.1,0.3,0.9400921658986175,0.9444444444444444,0.9230769230769231,0.9336384439359268
0.1,0.35,0.9325946445060018,0.9351851851851852,0.9223744292237442,0.9287356321839081
0.1,0.4,0.9267840593141798,0.9259259259259259,0.9302325581395349,0.9280742459396751
0.1,0.45,0.9247211895910781,0.9212962962962963,0.9386792452830188,0.9299065420560748
0.1,0.5,0.9235074626865671,0.9166666666666666,0.9519230769230769,0.9339622641509434
0.1,0.55,0.9014084507042254,0.8888888888888888,0.9552238805970149,0.920863309352518
0.1,0.6,0.9014084507042254,0.8888888888888888,0.9552238805970149,0.920863309352518
0.1,0.65,0.89924670433145,0.8842592592592593,0.9646464646464646,0.9227053140096618
0.1,0.7,0.8893093661305582,0.8703703703703703,0.9740932642487047,0.9193154034229829
0.15,0.01,0.9475620975160993,0.9537037037037037,0.9237668161434978,0.9384965831435079
0.15,0.05,0.9475620975160993,0.9537037037037037,0.9237668161434978,0.9384965831435079
0.15,0.1,0.9493087557603687,0.9537037037037037,0.9321266968325792,0.9427917620137299
0.15,0.15,0.9501845018450185,0.9537037037037037,0.9363636363636364,0.944954128440367
0.15,0.2,0.9501845018450185,0.9537037037037037,0.9363636363636364,0.944954128440367
0.15,0.25,0.9473197781885397,0.9490740740740741,0.9403669724770642,0.9447004608294931
0.15,0.3,0.9435707678075855,0.9444444444444444,0.9400921658986175,0.9422632794457275
0.15,0.35,0.9360518999073216,0.9351851851851852,0.9395348837209302,0.9373549883990719
0.15,0.4,0.9302325581395349,0.9259259259259259,0.9478672985781991,0.936768149882904
0.15,0.45,0.9281716417910447,0.9212962962962963,0.9567307692307693,0.9386792452830188
0.15,0.5,0.9252336448598131,0.9166666666666666,0.9611650485436893,0.9383886255924171
0.15,0.55,0.9022556390977443,0.8888888888888888,0.96,0.9230769230769231
0.15,0.6,0.9022556390977443,0.8888888888888888,0.96,0.9230769230769231
0.15,0.65,0.9000942507068803,0.8842592592592593,0.9695431472081218,0.9249394673123487
0.15,0.7,0.8901515151515151,0.8703703703703703,0.9791666666666666,0.9215686274509803
0.2,0.01,0.951061865189289,0.9537037037037037,0.9406392694063926,0.9471264367816092
0.2,0.05,0.951061865189289,0.9537037037037037,0.9406392694063926,0.9471264367816092
0.2,0.1,0.951061865189289,0.9537037037037037,0.9406392694063926,0.9471264367816092
0.2,0.15,0.9519408502772643,0.9537037037037037,0.944954128440367,0.9493087557603687
0.2,0.2,0.9519408502772643,0.9537037037037037,0.944954128440367,0.9493087557603687
0.2,0.25,0.9490740740740741,0.9490740740740741,0.9490740740740741,0.9490740740740741
0.2,0.3,0.9453197405004634,0.9444444444444444,0.9488372093023256,0.9466357308584686
0.2,0.35,0.9377901578458682,0.9351851851851852,0.9483568075117371,0.9417249417249417
0.2,0.4,0.9302325581395349,0.9259259259259259,0.9478672985781991,0.936768149882904
